devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,datetime,location
0004a30b001febcf,-114,-5.3,868100000,5,4,1,LOC30,2019-04-23 16:20:23.065696,svpt



0004a30b001febcf,-111,-4.8,868500000,0,0,1,ping,2019-04-23 16:35:18.694760,aryas

0004a30b001febcf,-113,-0.3,868100000,0,1,1,LOC1,2019-04-23 16:35:25.400368,aryas

0004a30b001febcf,-108,-2.3,868500000,0,2,1,LOC2,2019-04-23 16:35:33.074394,aryas

0004a30b001febcf,-109,-5,868300000,0,3,1,LOC3,2019-04-23 16:35:40.885702,aryas

0004a30b001febcf,-113,-2.3,868100000,0,4,1,LOC4,2019-04-23 16:35:48.562312,aryas

0004a30b001febcf,-106,-1.5,868500000,0,5,1,LOC5,2019-04-23 16:35:56.369610,aryas

0004a30b001febcf,-115,-7.3,868300000,0,6,1,LOC6,2019-04-23 16:36:04.193294,aryas

0004a30b001febcf,-115,-4.5,868500000,0,7,1,LOC7,2019-04-23 16:36:11.866249,aryas

0004a30b001febcf,-111,-1.8,868300000,0,8,1,LOC8,2019-04-23 16:36:19.681531,aryas

0004a30b001febcf,-115,-12,868500000,0,9,1,LOC9,2019-04-23 16:36:27.503708,aryas

0004a30b001febcf,-112,-7,868500000,0,10,1,LOC10,2019-04-23 16:36:35.176973,aryas

0004a30b001febcf,-108,-2,868300000,0,11,1,LOC11,2019-04-23 16:36:43.043989,aryas

0004a30b001febcf,-114,-7.3,868500000,0,12,1,LOC12,2019-04-23 16:36:50.857985,aryas

0004a30b001febcf,-113,-6.8,868300000,0,13,1,LOC13,2019-04-23 16:36:58.527188,aryas

0004a30b001febcf,-113,-2.3,868500000,0,14,1,LOC14,2019-04-23 16:37:06.348496,aryas

0004a30b001febcf,-114,-11.5,868300000,0,15,1,LOC15,2019-04-23 16:37:14.166123,aryas

0004a30b001febcf,-112,-8.3,868500000,0,16,1,LOC16,2019-04-23 16:37:21.839565,aryas

0004a30b001febcf,-105,0.3,868300000,0,17,1,LOC17,2019-04-23 16:37:29.653279,aryas

0004a30b001febcf,-113,-4.8,868300000,0,18,1,LOC18,2019-04-23 16:37:37.535639,aryas

0004a30b001febcf,-113,-7,868500000,0,19,1,LOC19,2019-04-23 16:37:45.202856,aryas

0004a30b001febcf,-108,-2,868300000,0,20,1,LOC20,2019-04-23 16:37:53.006999,aryas

0004a30b001febcf,-114,-2.8,868100000,0,21,1,LOC21,2019-04-23 16:38:00.838723,aryas

0004a30b001febcf,-114,-14.8,868500000,0,22,1,LOC22,2019-04-23 16:38:08.655293,aryas

0004a30b001febcf,-113,-15,868300000,0,23,1,LOC23,2019-04-23 16:38:16.330453,aryas

0004a30b001febcf,-115,-5,868100000,0,24,1,LOC24,2019-04-23 16:38:24.143428,aryas

0004a30b001febcf,-111,-4.8,868300000,0,25,1,LOC25,2019-04-23 16:38:31.963256,aryas

0004a30b001febcf,-104,-3.3,868500000,0,26,1,LOC26,2019-04-23 16:38:39.641590,aryas

0004a30b001febcf,-109,-3.8,868300000,0,27,1,LOC27,2019-04-23 16:38:47.500732,aryas

0004a30b001febcf,-112,0,868100000,0,28,1,LOC28,2019-04-23 16:38:55.313040,aryas

0004a30b001febcf,-114,-12.8,868500000,0,29,1,LOC29,2019-04-23 16:39:03.144059,aryas

0004a30b001febcf,-115,-8.5,868500000,0,30,1,LOC30,2019-04-23 16:39:10.816218,aryas

0004a30b001febcf,-115,-7.5,868300000,1,31,1,LOC1,2019-04-23 16:39:18.033392,aryas

0004a30b001febcf,-104,-4.3,868500000,1,32,1,LOC2,2019-04-23 16:39:24.606501,aryas

0004a30b001febcf,-114,-10.8,868100000,1,33,1,LOC3,2019-04-23 16:39:36.169467,aryas

0004a30b001febcf,-115,-9.5,868500000,1,34,1,LOC4,2019-04-23 16:39:42.578841,aryas

0004a30b001febcf,-113,-12.8,868300000,1,35,1,LOC5,2019-04-23 16:39:59.101826,aryas

0004a30b001febcf,-115,-1.5,868100000,1,36,1,LOC6,2019-04-23 16:40:05.673929,aryas

0004a30b001febcf,-115,-8.5,868500000,1,37,1,LOC7,2019-04-23 16:40:12.291304,aryas

0004a30b001febcf,-112,-8.8,868300000,1,38,1,LOC8,2019-04-23 16:40:23.566574,aryas

0004a30b001febcf,-114,-9.5,868500000,1,39,1,LOC9,2019-04-23 16:40:30.132429,aryas

0004a30b001febcf,-114,-1.3,868100000,1,40,1,LOC10,2019-04-23 16:40:36.745992,aryas

0004a30b001febcf,-115,-14.8,868500000,1,41,1,LOC11,2019-04-23 16:40:48.275543,aryas

0004a30b001febcf,-115,-6.8,868100000,1,42,1,LOC12,2019-04-23 16:40:54.712578,aryas

0004a30b001febcf,-113,-10,868500000,1,43,1,LOC13,2019-04-23 16:41:01.318198,aryas

0004a30b001febcf,-109,-4.8,868300000,1,44,1,LOC14,2019-04-23 16:41:07.844208,aryas

0004a30b001febcf,-114,-9.5,868100000,1,45,1,LOC15,2019-04-23 16:41:14.447695,aryas

0004a30b001febcf,-114,-12.3,868500000,1,46,1,LOC16,2019-04-23 16:41:25.987687,aryas

0004a30b001febcf,-114,-11.5,868300000,1,47,1,LOC17,2019-04-23 16:41:32.392250,aryas

0004a30b001febcf,-109,-10.8,868300000,1,48,1,LOC18,2019-04-23 16:41:43.970294,aryas

0004a30b001febcf,-112,-3.3,868500000,1,49,1,LOC19,2019-04-23 16:41:50.527910,aryas

0004a30b001febcf,-115,-6.3,868300000,1,50,1,LOC20,2019-04-23 16:41:57.091235,aryas

0004a30b001febcf,-112,0.5,868100000,5,0,1,LOC20,2019-04-23 16:42:02.763424,aryas

0004a30b001febcf,-109,-7,868300000,1,1,1,LOC21,2019-04-23 16:42:08.616039,aryas

0004a30b001febcf,-115,-5,868100000,1,2,1,LOC22,2019-04-23 16:42:22.196178,aryas

0004a30b001febcf,-111,-0.3,868300000,2,3,1,LOC5,2019-04-23 16:45:23.760595,aryas

0004a30b001febcf,-112,-7.5,868500000,2,4,1,LOC8,2019-04-23 16:45:57.975806,aryas

0004a30b001febcf,-115,-2,868100000,2,5,1,LOC9,2019-04-23 16:46:05.752244,aryas

0004a30b001febcf,-109,-2,868300000,2,6,1,LOC13,2019-04-23 16:47:03.328468,aryas

0004a30b001febcf,-113,-7.5,868500000,2,7,1,LOC16,2019-04-23 16:47:37.609743,aryas

0004a30b001febcf,-115,-6.5,868100000,2,8,1,LOC17,2019-04-23 16:47:46.417865,aryas

0004a30b001febcf,-108,-3.8,868300000,2,9,1,LOC22,2019-04-23 16:48:56.138357,aryas

0004a30b001febcf,-114,-9,868500000,2,10,1,LOC25,2019-04-23 16:49:30.401459,aryas

0004a30b001febcf,-114,-4.5,868100000,2,11,1,LOC26,2019-04-23 16:49:36.198308,aryas

0004a30b001febcf,-108,0,868300000,3,12,1,LOC2,2019-04-23 16:50:52.840530,aryas

0004a30b001febcf,-115,-4.3,868100000,3,13,1,LOC4,2019-04-23 16:51:12.534437,aryas

0004a30b001febcf,-113,-12,868500000,3,14,1,LOC5,2019-04-23 16:51:19.107672,aryas

0004a30b001febcf,-114,-11.8,868100000,3,15,1,LOC7,2019-04-23 16:52:09.264205,aryas

0004a30b001febcf,-115,-12.5,868100000,3,16,1,LOC8,2019-04-23 16:53:04.584502,aryas

0004a30b001febcf,-113,-5.3,868500000,5,17,1,LOC9,2019-04-23 16:53:05.903874,aryas

0004a30b001febcf,-113,-3.8,868500000,5,0,1,LOC9,2019-04-23 16:53:09.221963,aryas

0004a30b001febcf,-111,1,868100000,3,1,1,LOC10,2019-04-23 16:53:14.654547,aryas

0004a30b001febcf,-108,-7.3,868300000,3,2,1,LOC11,2019-04-23 16:53:20.175948,aryas

0004a30b001febcf,-114,-3.8,868500000,3,3,1,LOC12,2019-04-23 16:53:25.651054,aryas

0004a30b001febcf,-114,-1.8,868100000,3,4,1,LOC15,2019-04-23 16:54:06.616020,aryas

