devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,time
0004a30b001febcf,-40,9.3,868500000,5,30,1,LOC35,2019-03-09 01:22:44.538291
0004a30b0020096f,-41,10,868100000,5,67,1,"0,0,0",2019-03-09 01:22:44.665961
0004a30b0020096f,-42,9.5,868500000,5,68,1,"0,0,0",2019-03-09 01:22:48.772164
0004a30b001febcf,-41,9,868300000,5,30,1,LOC35,2019-03-09 01:22:48.955019
0004a30b001febcf,-37,10.8,868100000,4,31,1,LOC36,2019-03-09 01:22:55.055864
0004a30b0020096f,-37,9.5,868300000,5,68,1,"0,0,0",2019-03-09 01:22:55.262430
0004a30b0020096f,-40,11.5,868100000,4,69,1,"0,0,0",2019-03-09 01:23:01.356941
0004a30b001febcf,-37,10,868500000,4,31,1,LOC36,2019-03-09 01:23:01.707183
0004a30b0020096f,-40,10,868500000,4,69,1,"0,0,0",2019-03-09 01:23:05.584132
0004a30b001febcf,-39,9.5,868300000,5,32,1,LOC37,2019-03-09 01:23:05.814096
0004a30b0020096f,-42,12,868300000,4,69,1,"0,0,0",2019-03-09 01:23:11.890139
0004a30b001febcf,-35,9.3,868300000,5,33,1,LOC39,2019-03-09 01:23:22.822354
0004a30b001febcf,-41,9.3,868100000,5,34,1,LOC40,2019-03-09 01:23:26.993770
0004a30b001febcf,-41,8.8,868500000,5,35,1,LOC41,2019-03-09 01:23:31.105323
0004a30b0020096f,-42,9.3,868100000,5,70,1,"0,0,0",2019-03-09 01:23:31.531220
0004a30b0020096f,-43,10.5,868500000,5,71,1,"0,0,0",2019-03-09 01:23:35.654122
0004a30b001febcf,-45,9.3,868300000,5,35,1,LOC41,2019-03-09 01:23:39.427127
0004a30b0020096f,-41,9.5,868300000,5,72,1,"0,0,0",2019-03-09 01:23:39.755849
0004a30b001febcf,-37,9.8,868300000,5,0,1,LOC41,2019-03-09 01:23:45.065699
0004a30b0020096f,-43,10,868500000,5,73,1,"0,0,0",2019-03-09 01:23:48.035439
0004a30b001febcf,-36,9.5,868100000,5,1,1,LOC42,2019-03-09 01:23:49.251900
0004a30b0020096f,-42,10.3,868100000,5,73,1,"0,0,0",2019-03-09 01:23:52.328654
0004a30b0020096f,-43,9.8,868300000,5,74,1,"0,0,0",2019-03-09 01:23:57.632546
0004a30b001febcf,-33,9,868300000,5,2,1,LOC43,2019-03-09 01:24:01.659792
0004a30b001febcf,-34,5.8,868100000,4,3,1,LOC44,2019-03-09 01:24:05.887541
0004a30b001febcf,-48,9.5,868500000,5,4,1,LOC45,2019-03-09 01:24:10.055398
0004a30b0020096f,-43,9.8,868500000,5,75,1,"0,0,0",2019-03-09 01:24:10.258729
0004a30b0020096f,-43,11.8,868300000,4,75,1,"0,0,0",2019-03-09 01:24:14.495806
0004a30b001febcf,-40,9.8,868300000,5,4,1,LOC45,2019-03-09 01:24:18.363154
0004a30b0020096f,-43,9.8,868500000,5,76,1,"0,0,0",2019-03-09 01:24:22.427225
0004a30b001febcf,-42,9.3,868500000,5,5,1,LOC46,2019-03-09 01:24:24.540067
0004a30b0020096f,-42,9,868100000,5,77,1,"0,0,0",2019-03-09 01:24:26.513391
0004a30b001febcf,-45,9.5,868100000,5,6,1,LOC47,2019-03-09 01:24:34.727112
0004a30b001febcf,-45,8.8,868300000,5,7,1,LOC48,2019-03-09 01:24:38.900928
0004a30b001febcf,-49,10.3,868500000,5,8,1,LOC49,2019-03-09 01:24:43.068543
0004a30b0020096f,-41,9.8,868300000,5,78,1,"0,0,0",2019-03-09 01:24:44.332552
0004a30b0020096f,-38,8.3,868100000,5,79,1,"0,0,0",2019-03-09 01:24:48.446266
0004a30b001febcf,-34,11.3,868100000,2,9,1,LOC0,2019-03-09 01:24:50.562643
0004a30b0020096f,-42,8.8,868500000,5,79,1,"0,0,0",2019-03-09 01:24:52.736380
0004a30b001febcf,-42,9.5,868300000,5,10,1,LOC1,2019-03-09 01:24:55.062255
0004a30b001febcf,-43,9,868500000,5,11,1,LOC2,2019-03-09 01:24:59.178021
0004a30b0020096f,-41,9.3,868300000,5,80,1,"0,0,0",2019-03-09 01:25:00.805024
0004a30b0020096f,-40,9,868500000,5,81,1,"0,0,0",2019-03-09 01:25:04.923434
0004a30b001febcf,-43,9.8,868300000,5,12,1,LOC3,2019-03-09 01:25:07.343477
0004a30b0020096f,-40,9.8,868100000,5,82,1,"0,0,0",2019-03-09 01:25:09.069279
0004a30b001febcf,-42,10,868500000,5,13,1,LOC4,2019-03-09 01:25:12.540782
0004a30b0020096f,-39,9,868300000,5,83,1,"0,0,0",2019-03-09 01:25:17.355026
0004a30b0020096f,-41,10,868100000,5,84,1,"0,0,0",2019-03-09 01:25:21.426611
0004a30b001febcf,-41,9,868300000,5,14,1,LOC5,2019-03-09 01:25:23.740528
0004a30b001febcf,-43,10,868500000,5,15,1,LOC6,2019-03-09 01:25:27.912611
0004a30b0020096f,-42,10,868500000,5,85,1,"0,0,0",2019-03-09 01:25:31.128230
0004a30b0020096f,-41,10.5,868300000,5,86,1,"0,0,0",2019-03-09 01:25:35.251222
0004a30b001febcf,-45,9.5,868300000,5,16,1,LOC7,2019-03-09 01:25:39.130388
0004a30b0020096f,-40,10,868500000,5,87,1,"0,0,0",2019-03-09 01:25:39.398767
0004a30b0020096f,-40,10.3,868100000,5,88,1,"0,0,0",2019-03-09 01:25:43.449279
0004a30b001febcf,-42,8.5,868500000,5,16,1,LOC7,2019-03-09 01:25:45.361901
0004a30b0020096f,-40,9.3,868300000,5,89,1,"0,0,0",2019-03-09 01:25:51.688584
0004a30b001febcf,-35,12,868300000,4,17,1,LOC8,2019-03-09 01:25:55.615279
0004a30b0020096f,-41,9.8,868500000,5,90,1,"0,0,0",2019-03-09 01:25:55.832210
0004a30b0020096f,-39,8.8,868100000,5,90,1,"0,0,0",2019-03-09 01:26:00.116559
0004a30b0020096f,-38,10.8,868300000,4,91,1,"0,0,0",2019-03-09 01:26:08.275516
0004a30b0020096f,-30,10.3,868100000,5,0,1,ping,2019-03-09 01:26:20.833007
0004a30b001febcf,-39,11.3,868300000,4,17,1,LOC8,2019-03-09 01:26:24.299337
0004a30b0020096f,-31,9.8,868300000,5,1,1,"0,0,0",2019-03-09 01:26:25.661947
0004a30b001febcf,-38,8.8,868500000,5,18,1,LOC9,2019-03-09 01:26:28.476444
0004a30b0020096f,-32,9.3,868500000,5,2,1,"0,0,0",2019-03-09 01:26:29.747840
0004a30b001febcf,-41,9.3,868100000,5,19,1,LOC10,2019-03-09 01:26:32.657979
0004a30b0020096f,-33,10,868300000,5,3,1,"0,0,0",2019-03-09 01:26:38.030896
0004a30b0020096f,-33,8.8,868500000,5,4,1,"0,0,0",2019-03-09 01:26:42.144740
0004a30b001febcf,-43,9.5,868500000,5,20,1,LOC11,2019-03-09 01:26:44.869134
0004a30b001febcf,-42,9,868100000,5,21,1,LOC12,2019-03-09 01:26:49.045066
0004a30b001febcf,-43,9.5,868300000,5,22,1,LOC13,2019-03-09 01:26:53.154660
0004a30b0020096f,-33,11.8,868300000,4,4,1,"0,0,0",2019-03-09 01:26:54.783284
